都道府県コード又は市区町村コード,都道府県名,市区町村名,調査年月日,地域名,総人口,男性,女性,0-4歳の男性,0-4歳の女性,5-9歳の男性,5-9歳の女性,10-14歳の男性,10-14歳の女性,15-19歳の男性,15-19歳の女性,20-24歳の男性,20-24歳の女性,25-29歳の男性,25-29歳の女性,30-34歳の男性,30-34歳の女性,35-39歳の男性,35-39歳の女性,40-44歳の男性,40-44歳の女性,45-49歳の男性,45-49歳の女性,50-54歳の男性,50-54歳の女性,55-59歳の男性,55-59歳の女性,60-64歳の男性,60-64歳の女性,65-69歳の男性,65-69歳の女性,70-74歳の男性,70-74歳の女性,75-79歳の男性,75-79歳の女性,80-84歳の男性,80-84歳の女性,85-89歳の男性,85-89歳の女性,90歳以上の男性,90歳以上の女性,世帯数,備考
032018,岩手県,盛岡市,2025-09-30,盛岡市（総数）,275321,130120,145201,4132,3878,5166,5027,5998,5910,6446,6262,6487,6312,6154,6118,6902,6770,7507,7539,8419,8975,9755,9988,10680,10975,9223,9808,8925,9675,8522,9562,8447,9968,7816,10256,4885,7544,2963,5678,1693,4956,138914,
032018,岩手県,盛岡市,2025-09-30,内丸,191,93,98,1,0,2,0,1,0,3,2,9,9,7,8,5,2,6,4,7,2,8,9,7,11,11,8,5,7,6,4,4,8,5,8,5,7,1,6,0,3,126,
032018,岩手県,盛岡市,2025-09-30,中央通一丁目,362,161,201,4,2,4,3,7,3,9,5,4,8,9,10,10,8,9,10,8,8,12,19,7,16,14,19,18,17,11,16,15,16,10,11,7,11,3,14,0,5,228,
032018,岩手県,盛岡市,2025-09-30,中央通二丁目,594,276,318,11,10,11,12,12,12,13,19,11,17,22,15,17,13,15,17,20,19,20,32,29,27,24,17,22,23,16,20,11,17,10,20,5,13,7,8,0,7,330,
032018,岩手県,盛岡市,2025-09-30,中央通三丁目,1498,688,810,36,31,27,39,34,26,37,31,33,50,21,34,48,46,58,49,62,56,44,59,56,75,57,60,47,54,53,58,25,43,25,35,9,30,10,14,6,20,816,
032018,岩手県,盛岡市,2025-09-30,大通一丁目,50,28,22,1,0,1,1,0,0,0,1,0,1,2,3,6,0,1,2,3,0,5,1,3,1,3,3,1,1,0,1,0,2,0,2,0,2,0,1,2,0,33,
032018,岩手県,盛岡市,2025-09-30,大通二丁目,33,20,13,0,0,0,0,0,0,0,1,3,0,1,1,3,1,2,1,1,0,0,0,3,2,3,2,0,1,1,1,1,1,0,1,0,0,1,0,1,1,23,
032018,岩手県,盛岡市,2025-09-30,大通三丁目,613,275,338,3,4,3,7,8,8,12,8,19,13,11,15,12,14,14,9,14,11,18,28,30,28,19,36,30,33,22,34,22,27,20,29,7,15,7,5,4,14,381,
032018,岩手県,盛岡市,2025-09-30,菜園一丁目,127,66,61,1,0,2,1,0,3,1,2,2,3,8,3,7,3,5,6,6,3,3,9,4,3,7,3,5,2,3,5,1,4,3,2,1,3,6,4,1,2,92,
032018,岩手県,盛岡市,2025-09-30,菜園二丁目,254,109,145,1,3,6,2,2,4,1,5,5,3,4,3,3,4,3,2,9,11,12,7,13,8,6,19,5,8,10,13,6,16,15,17,5,5,1,11,2,4,158,
032018,岩手県,盛岡市,2025-09-30,大沢川原一丁目,157,71,86,1,1,1,2,4,3,2,0,0,4,1,0,4,3,3,3,6,6,4,5,10,9,10,5,4,7,5,5,5,11,3,7,5,9,3,2,0,4,106,
032018,岩手県,盛岡市,2025-09-30,大沢川原二丁目,570,267,303,9,12,9,9,14,10,8,10,6,9,9,16,24,16,14,16,15,23,28,21,18,21,29,25,27,25,14,27,14,18,19,16,7,15,2,5,1,9,317,
032018,岩手県,盛岡市,2025-09-30,大沢川原三丁目,474,211,263,2,1,3,4,6,4,5,5,19,14,18,12,13,14,19,9,8,13,17,22,20,28,18,15,14,22,17,25,11,20,8,23,6,14,5,7,2,11,349,
032018,岩手県,盛岡市,2025-09-30,開運橋通,606,265,341,7,5,1,11,12,10,14,15,15,12,7,14,15,20,18,12,13,13,17,26,22,20,25,25,26,32,20,22,13,30,23,30,8,15,6,12,3,17,397,
032018,岩手県,盛岡市,2025-09-30,本町通一丁目,1480,668,812,11,10,11,13,18,21,22,19,93,39,52,30,32,44,33,35,34,40,48,45,41,67,36,75,53,67,51,70,51,76,44,69,23,35,6,33,9,24,982,
032018,岩手県,盛岡市,2025-09-30,本町通二丁目,991,432,559,14,13,8,16,9,22,15,11,24,22,22,28,28,20,25,22,37,32,24,36,42,44,40,34,29,37,29,38,31,54,24,51,14,38,10,25,7,16,611,
032018,岩手県,盛岡市,2025-09-30,本町通三丁目,1643,752,891,13,19,25,18,30,20,28,48,39,36,45,43,41,46,46,41,43,49,57,62,60,63,69,74,66,83,68,94,50,55,34,58,19,38,13,21,6,23,961,
032018,岩手県,盛岡市,2025-09-30,長田町,1083,518,565,22,19,19,20,22,13,21,27,39,29,29,34,36,44,35,38,52,36,44,38,27,45,30,30,28,31,27,33,35,35,28,38,10,29,12,9,2,17,630,
032018,岩手県,盛岡市,2025-09-30,材木町,937,401,536,5,6,10,9,11,7,26,28,46,83,22,33,24,19,14,22,19,37,26,23,35,37,32,36,23,27,19,41,35,38,18,38,19,25,9,15,8,12,657,
032018,岩手県,盛岡市,2025-09-30,梨木町,653,313,340,6,14,10,4,9,12,15,13,29,22,17,20,21,12,18,16,23,22,23,18,17,20,18,28,20,23,26,18,18,21,22,22,9,27,5,16,7,12,389,
032018,岩手県,盛岡市,2025-09-30,愛宕町,957,455,502,14,5,16,17,16,25,24,13,24,20,14,19,19,19,27,24,26,28,28,43,54,56,40,44,32,38,24,21,25,35,28,36,25,24,8,16,11,19,489,
032018,岩手県,盛岡市,2025-09-30,名須川町,1202,573,629,18,15,23,23,28,21,22,30,30,30,35,32,30,34,29,32,41,38,46,55,46,51,47,40,40,45,38,35,21,42,37,37,25,26,7,21,10,22,669,
032018,岩手県,盛岡市,2025-09-30,北山一丁目,667,314,353,11,5,12,6,11,10,12,14,14,23,14,13,16,19,9,12,13,19,26,25,30,20,16,26,28,23,32,31,23,27,19,24,17,21,9,11,2,24,388,
032018,岩手県,盛岡市,2025-09-30,北山二丁目,745,339,406,9,13,12,13,19,13,17,9,13,22,8,13,14,10,13,19,25,26,34,36,25,18,23,28,26,17,16,28,25,34,26,40,17,30,9,22,8,15,382,
032018,岩手県,盛岡市,2025-09-30,上田一丁目,1455,697,758,28,19,29,22,38,33,36,31,52,53,61,58,35,43,34,35,33,54,51,56,61,53,51,48,57,52,41,28,34,41,26,42,18,31,7,29,5,30,830,
032018,岩手県,盛岡市,2025-09-30,上田二丁目,828,400,428,8,5,18,9,21,14,30,20,39,39,19,15,22,17,22,22,23,22,29,33,18,23,34,29,22,31,30,29,22,26,16,31,14,23,4,16,9,24,521,
032018,岩手県,盛岡市,2025-09-30,上田三丁目,1075,542,533,12,9,12,11,12,11,63,47,135,85,34,23,23,22,14,18,22,21,24,18,36,48,24,30,23,28,24,37,22,26,30,31,14,20,10,27,8,21,697,
032018,岩手県,盛岡市,2025-09-30,上田四丁目,903,432,471,8,9,6,11,16,15,37,31,87,63,26,26,12,20,24,20,20,19,21,28,28,43,33,34,30,43,35,29,12,13,12,26,12,15,9,11,4,15,545,
032018,岩手県,盛岡市,2025-09-30,西下台町,1310,632,678,21,20,19,23,26,22,33,54,94,78,46,44,44,42,37,38,42,47,48,47,42,47,44,36,27,29,34,29,27,31,23,29,13,26,6,21,6,15,790,
032018,岩手県,盛岡市,2025-09-30,館向町,1604,826,778,18,25,24,16,29,24,74,51,143,75,43,30,41,25,39,32,35,37,56,49,50,43,45,57,46,55,44,46,40,51,46,60,24,50,20,29,9,23,969,
032018,岩手県,盛岡市,2025-09-30,高松一丁目,1079,522,557,16,18,31,28,33,35,34,28,36,30,17,15,25,22,41,26,34,43,33,51,30,35,38,35,26,32,44,38,31,30,23,32,14,18,9,15,7,26,532,
032018,岩手県,盛岡市,2025-09-30,高松二丁目,1729,893,836,21,21,27,25,28,33,67,50,157,68,47,43,57,47,57,43,45,51,46,42,47,59,46,56,54,49,53,65,51,44,30,42,26,33,24,28,10,37,1026,
032018,岩手県,盛岡市,2025-09-30,高松三丁目,1277,605,672,30,27,20,28,34,32,38,41,33,28,29,33,32,33,32,34,34,47,43,43,57,72,44,46,56,42,29,29,27,23,26,51,19,25,12,15,10,23,606,
032018,岩手県,盛岡市,2025-09-30,高松四丁目,1669,796,873,32,27,28,31,23,25,36,51,71,80,38,46,48,42,51,47,48,49,52,39,56,52,63,60,47,56,53,51,45,46,38,49,30,44,23,45,14,33,992,
032018,岩手県,盛岡市,2025-09-30,山岸一丁目,775,348,427,7,14,11,15,15,19,21,23,14,16,14,15,16,11,18,22,19,25,34,33,26,27,24,27,30,30,27,25,16,30,25,26,11,28,12,20,8,21,408,
032018,岩手県,盛岡市,2025-09-30,山岸二丁目,909,430,479,11,15,18,25,28,17,26,16,16,14,14,20,19,13,16,22,22,33,34,30,32,33,38,35,33,41,28,26,26,34,26,37,19,27,15,20,9,21,426,
032018,岩手県,盛岡市,2025-09-30,山岸三丁目,1089,496,593,17,6,20,18,37,18,18,36,17,26,13,15,12,14,23,24,36,34,38,46,36,44,35,39,30,34,19,33,42,52,50,54,23,48,26,29,4,23,537,
032018,岩手県,盛岡市,2025-09-30,山岸四丁目,861,401,460,13,9,14,20,17,18,16,15,11,14,15,10,15,24,19,16,26,26,25,19,32,34,20,24,26,29,25,31,40,49,32,43,31,22,16,35,8,22,427,
032018,岩手県,盛岡市,2025-09-30,山岸五丁目,473,225,248,1,7,7,4,9,8,10,6,6,8,10,6,4,3,13,11,10,12,22,17,20,18,16,15,14,16,26,24,13,16,12,26,12,21,14,20,6,10,245,
032018,岩手県,盛岡市,2025-09-30,山岸六丁目,1708,813,895,21,28,30,32,27,29,48,54,45,41,27,30,31,30,28,33,42,41,53,64,80,74,84,80,72,60,37,50,45,49,55,78,48,59,30,40,10,23,765,
032018,岩手県,盛岡市,2025-09-30,緑が丘一丁目,803,391,412,19,18,19,20,18,15,12,14,9,14,21,20,30,20,19,30,21,23,36,35,35,29,23,25,26,24,15,16,25,32,29,29,11,22,13,15,10,11,400,
032018,岩手県,盛岡市,2025-09-30,緑が丘二丁目,1518,708,810,10,18,35,31,57,53,68,77,42,37,14,25,16,23,30,32,48,60,91,91,67,72,51,62,58,53,29,36,32,37,26,40,10,30,16,20,8,13,651,
032018,岩手県,盛岡市,2025-09-30,緑が丘三丁目,1607,728,879,31,17,28,32,39,48,45,43,27,29,30,18,39,41,37,44,53,46,40,63,60,71,53,59,55,63,51,47,41,66,39,58,35,55,12,37,13,42,784,
032018,岩手県,盛岡市,2025-09-30,緑が丘四丁目,915,411,504,16,9,16,19,15,17,24,15,19,24,12,17,18,19,25,22,33,38,23,24,24,36,34,32,24,34,33,34,31,46,22,37,22,43,16,18,4,20,459,
032018,岩手県,盛岡市,2025-09-30,東緑が丘,1401,665,736,14,11,15,24,21,25,25,18,19,20,19,28,30,29,30,20,34,34,33,41,51,51,55,66,59,68,68,52,58,69,58,57,37,47,26,41,13,35,712,
032018,岩手県,盛岡市,2025-09-30,黒石野一丁目,1286,601,685,21,11,24,21,40,28,25,20,17,15,19,14,27,32,28,39,32,41,38,37,42,45,41,46,45,54,45,48,46,55,40,52,37,60,19,30,15,37,640,
032018,岩手県,盛岡市,2025-09-30,黒石野二丁目,1110,515,595,25,19,40,29,29,35,28,28,27,32,25,26,27,25,28,37,32,37,29,34,48,51,39,46,32,48,27,23,24,33,25,36,17,23,7,23,6,10,486,
032018,岩手県,盛岡市,2025-09-30,黒石野三丁目,1003,480,523,14,13,19,18,32,20,18,19,27,24,23,29,32,24,22,32,32,39,26,30,35,40,34,41,39,45,38,47,43,46,25,14,10,22,8,13,3,7,464,
032018,岩手県,盛岡市,2025-09-30,岩脇町,540,261,279,8,8,12,13,10,10,13,7,8,11,14,5,12,11,12,14,18,12,15,17,22,22,16,19,13,18,15,23,21,19,25,34,14,18,9,13,4,5,260,
032018,岩手県,盛岡市,2025-09-30,箱清水一丁目,1405,658,747,19,19,32,29,33,25,33,26,18,24,21,22,24,35,40,31,47,49,44,39,58,57,35,42,48,52,40,61,44,53,53,60,38,48,19,42,12,33,712,
032018,岩手県,盛岡市,2025-09-30,箱清水二丁目,256,116,140,2,6,6,3,4,4,5,4,1,5,5,3,6,8,4,7,8,2,10,12,7,10,6,9,8,10,6,7,14,16,5,12,8,7,6,8,5,7,128,
032018,岩手県,盛岡市,2025-09-30,松園一丁目,1083,484,599,10,6,16,15,21,15,20,33,18,17,13,15,11,9,9,21,13,19,44,34,46,43,44,45,37,28,18,23,24,49,37,77,51,68,37,57,15,25,529,
032018,岩手県,盛岡市,2025-09-30,松園二丁目,944,424,520,5,8,12,8,14,15,19,20,13,14,16,13,6,12,10,18,20,14,25,26,38,41,42,34,37,36,21,17,22,35,30,51,40,83,36,50,18,25,488,
032018,岩手県,盛岡市,2025-09-30,松園三丁目,586,265,321,5,1,5,5,19,6,14,15,9,9,4,5,5,8,16,10,13,21,18,17,22,21,18,32,14,17,24,22,14,32,28,34,23,25,8,20,6,21,315,
032018,岩手県,盛岡市,2025-09-30,東松園一丁目,1148,515,633,14,13,19,21,24,33,30,36,16,22,11,15,19,18,26,27,36,33,31,34,45,43,14,35,36,35,32,43,44,48,49,71,40,55,21,31,8,20,587,
032018,岩手県,盛岡市,2025-09-30,東松園二丁目,255,121,134,1,2,3,4,3,7,4,9,5,2,2,3,5,3,3,2,5,9,12,5,8,9,7,3,4,8,5,8,14,11,22,27,12,14,5,3,1,5,113,
032018,岩手県,盛岡市,2025-09-30,東松園三丁目,748,362,386,4,4,8,8,10,9,12,7,9,7,5,6,7,12,17,12,19,18,24,23,19,21,15,24,26,22,32,32,30,39,51,77,45,37,16,18,13,10,363,
032018,岩手県,盛岡市,2025-09-30,東松園四丁目,481,200,281,1,1,3,5,10,9,11,11,14,8,1,6,3,3,8,6,13,12,14,19,18,24,9,20,8,19,10,18,16,33,31,32,21,30,9,18,0,7,272,
032018,岩手県,盛岡市,2025-09-30,西松園一丁目,487,227,260,7,9,7,10,5,7,11,8,8,5,12,8,8,10,11,10,11,17,11,8,14,14,16,18,10,13,4,12,14,19,32,48,27,24,12,11,7,9,235,
032018,岩手県,盛岡市,2025-09-30,西松園二丁目,548,247,301,3,4,6,7,10,15,13,15,17,9,12,10,8,11,9,10,10,7,22,18,19,22,14,17,11,21,5,10,15,33,28,33,23,22,15,22,7,15,306,
032018,岩手県,盛岡市,2025-09-30,西松園三丁目,518,240,278,3,1,4,7,6,5,8,4,4,8,5,6,6,3,7,6,5,7,12,13,27,21,18,24,16,13,7,13,14,24,29,46,40,41,18,20,11,16,262,
032018,岩手県,盛岡市,2025-09-30,西松園四丁目,742,332,410,2,3,8,7,11,10,15,16,7,15,3,10,6,7,7,11,9,14,21,27,34,31,33,33,27,21,16,12,15,24,39,71,40,55,33,26,6,17,370,
032018,岩手県,盛岡市,2025-09-30,紅葉が丘,642,278,364,1,7,10,11,9,16,5,13,6,9,10,8,14,17,14,18,13,16,19,18,27,18,29,21,29,24,21,29,22,25,21,33,10,26,11,30,7,25,333,
032018,岩手県,盛岡市,2025-09-30,上田堤一丁目,609,291,318,8,11,12,8,16,8,9,8,6,6,8,13,16,17,19,16,18,12,13,23,35,25,16,28,19,17,19,22,15,26,22,24,20,24,13,16,7,14,325,
032018,岩手県,盛岡市,2025-09-30,上田堤二丁目,976,463,513,12,13,26,31,21,20,16,27,23,5,10,12,20,22,28,25,24,34,35,33,39,41,42,34,25,26,32,34,29,28,28,39,25,36,14,29,14,24,453,
032018,岩手県,盛岡市,2025-09-30,三ツ割一丁目,220,101,119,2,0,3,3,6,2,2,6,6,2,1,5,3,4,4,7,2,3,8,8,9,9,10,14,6,8,9,7,7,6,9,10,9,10,4,4,1,11,123,
032018,岩手県,盛岡市,2025-09-30,三ツ割二丁目,290,144,146,3,4,4,6,2,5,5,3,7,5,5,6,10,1,3,6,12,7,16,5,6,15,16,16,15,10,7,7,13,6,7,18,7,8,3,9,3,9,144,
032018,岩手県,盛岡市,2025-09-30,三ツ割三丁目,559,268,291,11,8,16,13,12,10,13,6,10,8,10,12,8,14,12,18,17,13,15,17,14,23,23,18,19,25,28,18,16,28,18,22,12,14,10,13,4,11,268,
032018,岩手県,盛岡市,2025-09-30,三ツ割四丁目,445,217,228,14,11,21,19,21,15,9,10,4,9,6,4,18,22,14,19,19,17,19,16,11,15,13,8,9,8,10,12,5,12,15,11,4,7,4,7,1,6,187,
032018,岩手県,盛岡市,2025-09-30,三ツ割五丁目,619,285,334,7,5,11,11,15,16,15,12,5,9,14,12,13,7,14,12,17,21,22,26,28,20,19,20,23,31,25,26,15,25,20,33,12,19,8,13,2,16,291,
032018,岩手県,盛岡市,2025-09-30,岩清水,370,180,190,2,6,5,6,5,3,10,2,4,3,6,8,9,4,9,3,4,13,13,12,16,12,19,19,16,14,13,17,17,20,17,16,10,22,3,8,2,2,185,
032018,岩手県,盛岡市,2025-09-30,東黒石野一丁目,486,236,250,2,4,4,6,9,9,7,4,9,11,6,6,6,5,10,6,14,15,15,18,19,16,26,22,14,15,19,24,29,31,24,29,18,18,3,8,2,3,252,
032018,岩手県,盛岡市,2025-09-30,東黒石野二丁目,389,191,198,2,4,10,5,4,3,7,10,11,7,3,4,6,4,8,9,12,12,13,15,17,20,11,14,13,8,16,17,16,26,23,19,12,14,6,5,1,2,200,
032018,岩手県,盛岡市,2025-09-30,東黒石野三丁目,339,170,169,1,7,9,4,6,7,7,12,9,5,10,6,8,10,6,7,6,11,12,13,18,7,16,13,15,12,14,10,11,17,14,15,4,8,3,2,1,3,163,
032018,岩手県,盛岡市,2025-09-30,桜台一丁目,1181,561,620,4,8,12,19,22,22,12,15,9,12,11,14,27,15,24,28,35,31,35,25,35,40,37,53,54,74,94,84,53,61,55,49,24,35,14,20,4,15,558,
032018,岩手県,盛岡市,2025-09-30,桜台二丁目,751,366,385,10,5,7,6,17,16,19,11,6,8,10,9,13,15,16,19,22,28,27,19,15,20,24,15,33,38,45,60,54,43,28,28,11,12,6,25,3,8,362,
032018,岩手県,盛岡市,2025-09-30,桜台三丁目,405,205,200,4,1,6,4,4,3,5,5,6,1,8,5,6,7,7,11,6,8,10,8,10,10,16,17,34,28,29,26,25,26,15,12,7,15,6,6,1,7,208,
032018,岩手県,盛岡市,2025-09-30,北松園一丁目,555,263,292,2,2,7,7,11,3,8,5,8,9,3,7,10,8,12,16,17,18,10,12,8,9,7,13,30,50,58,52,37,33,19,22,6,9,6,12,4,5,246,
032018,岩手県,盛岡市,2025-09-30,北松園二丁目,853,408,445,6,4,7,3,9,9,9,14,8,8,9,10,8,12,24,16,20,15,24,27,23,14,18,22,21,34,57,64,79,91,61,61,17,14,7,14,1,13,413,
032018,岩手県,盛岡市,2025-09-30,北松園三丁目,841,407,434,7,1,8,7,12,9,9,10,10,10,12,8,12,10,17,17,17,19,21,19,18,18,16,22,38,55,64,68,65,68,51,41,15,24,12,16,3,12,399,
032018,岩手県,盛岡市,2025-09-30,北松園四丁目,1173,557,616,13,17,9,18,21,34,32,15,22,22,12,14,13,19,33,20,29,42,46,41,40,41,38,42,50,54,52,72,69,68,51,44,18,27,4,14,5,12,535,
032018,岩手県,盛岡市,2025-09-30,小鳥沢一丁目,1123,551,572,11,9,19,10,21,21,32,32,25,30,17,13,21,18,23,21,32,34,41,29,36,39,27,39,51,60,56,85,82,71,35,33,15,13,1,7,6,8,495,
032018,岩手県,盛岡市,2025-09-30,小鳥沢二丁目,1142,529,613,5,3,11,20,14,20,20,20,19,20,21,23,25,28,27,23,20,27,27,30,32,40,45,54,83,105,75,80,56,51,26,30,13,14,5,13,5,12,512,
032018,岩手県,盛岡市,2025-09-30,下米内一丁目,630,305,325,10,7,21,14,20,16,12,13,6,11,11,7,13,12,14,16,18,24,24,28,20,19,22,28,20,12,19,29,28,27,27,25,5,19,9,9,6,9,274,
032018,岩手県,盛岡市,2025-09-30,下米内二丁目,620,287,333,8,4,10,14,18,24,11,9,7,10,12,11,8,12,10,13,13,25,24,20,16,16,20,20,17,28,28,26,34,36,25,31,14,16,7,10,5,8,267,
032018,岩手県,盛岡市,2025-09-30,中ノ橋通一丁目,783,334,449,11,16,16,16,11,20,14,15,21,24,12,13,29,33,19,24,22,22,25,47,31,41,33,36,14,39,21,31,22,23,13,17,11,11,6,11,3,10,409,
032018,岩手県,盛岡市,2025-09-30,中ノ橋通二丁目,454,178,276,2,7,3,6,2,7,2,4,13,15,10,11,12,10,14,15,18,13,9,17,18,17,14,13,6,14,9,15,11,22,12,19,9,24,7,22,7,25,321,
032018,岩手県,盛岡市,2025-09-30,紺屋町,424,193,231,4,3,13,7,6,5,3,4,11,5,12,13,14,16,12,8,15,16,13,18,15,10,13,19,7,20,18,22,18,23,8,19,6,7,2,10,3,6,267,
032018,岩手県,盛岡市,2025-09-30,神明町,578,257,321,8,11,10,3,7,7,7,7,11,11,16,14,14,19,24,22,22,21,17,20,18,17,21,20,19,23,13,25,14,22,16,29,11,25,6,13,3,12,371,
032018,岩手県,盛岡市,2025-09-30,志家町,879,377,502,9,13,9,10,12,22,17,18,14,32,25,32,24,30,25,26,22,31,26,33,52,58,28,30,35,40,25,34,17,23,23,30,7,16,3,13,4,11,507,
032018,岩手県,盛岡市,2025-09-30,若園町,440,192,248,12,3,7,6,5,5,9,10,8,8,7,13,8,13,12,9,10,17,13,20,19,22,18,24,10,14,19,13,9,21,10,16,11,15,2,11,3,8,237,
032018,岩手県,盛岡市,2025-09-30,住吉町,869,415,454,11,11,20,13,22,15,13,19,21,17,21,28,24,17,18,22,26,27,27,36,42,40,50,44,34,32,32,31,15,20,20,19,6,25,11,18,2,20,441,
032018,岩手県,盛岡市,2025-09-30,上ノ橋町,510,231,279,7,4,4,9,11,11,10,13,13,18,10,13,8,9,11,8,15,17,17,20,21,29,19,28,27,27,27,21,13,9,10,20,5,7,0,8,3,8,274,
032018,岩手県,盛岡市,2025-09-30,天神町,665,306,359,6,6,10,18,19,21,16,18,16,11,14,12,21,18,20,21,17,19,25,29,26,34,25,28,20,29,21,22,18,20,14,16,11,17,6,14,1,6,349,
032018,岩手県,盛岡市,2025-09-30,加賀野一丁目,1045,485,560,19,14,29,24,35,31,24,20,14,22,25,19,26,23,16,27,30,36,40,52,55,53,36,42,30,28,26,29,22,24,20,29,13,31,18,20,7,36,528,
032018,岩手県,盛岡市,2025-09-30,加賀野二丁目,534,256,278,7,3,13,5,14,13,15,15,15,12,14,10,10,9,18,13,17,20,20,25,15,22,18,29,15,18,14,17,16,21,16,20,11,9,5,9,3,8,277,
