都道府県コード又は市区町村コード,NO,地方公共団体名,名称,名称_カナ,名称_通称,POIコード,住所,方書,緯度,経度,電話番号,内線番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,説明,バリアフリー情報,URL,備考,所管課
032018,0000000002,岩手県盛岡市,盛岡市役所青山支所,モリオカシヤクショアオヤマシショ,,,岩手県盛岡市青山3-37-3,,39.728080999999989,141.11071699999997,019-647-2211,,,,月火水木金,,,,,,http://www.city.morioka.iwate.jp/shisetsu/shikanren/shiyakusho/1006769.html,H31.3.25～,市民登録課
032018,0000000003,岩手県盛岡市,盛岡市役所簗川支所,モリオカシヤクショヤナガワシショ,,,岩手県盛岡市川目10-78-1,,39.671958000000117,141.19797299999996,019-622-3626,,,,月火水木金,,,,,,http://www.city.morioka.iwate.jp/shisetsu/shikanren/shiyakusho/1006770.html,,市民登録課
032018,0000000004,岩手県盛岡市,盛岡市役所太田支所,モリオカシヤクショオオタシショ,,,岩手県盛岡市中太田深持9,,39.693191299999995,141.10067779999997,019-659-0211,,,,月火水木金,,,,,,http://www.city.morioka.iwate.jp/shisetsu/shikanren/shiyakusho/1006771.html,,市民登録課
032018,0000000006,岩手県盛岡市,巻堀出張所,マキボリシュッチョウジョ,,,岩手県盛岡市好摩字野中69-48,,39.877136000000071,141.16706899999994,019-682-0310,,,,月火水木金,,,,,,http://www.city.morioka.iwate.jp/shisetsu/shikanren/shiyakusho/1006780.html,,税務住民課
032018,0000000007,岩手県盛岡市,玉山出張所,タマヤマシュッチョウジョ,,,岩手県盛岡市日戸字鷹高50-16,,39.7943910000001,141.19341699999998,019-685-2111,,,,月火水木金,,,,,,http://www.city.morioka.iwate.jp/shisetsu/shikanren/shiyakusho/1006778.html,,税務住民課
032018,0000000008,岩手県盛岡市,薮川出張所,ヤブカワシュッチョウジョ,,,岩手県盛岡市薮川字外山27-7,,39.779751000000253,141.32075199999969,019-681-5111,,,,月火水木金,,,,,,http://www.city.morioka.iwate.jp/shisetsu/shikanren/shiyakusho/1006779.html,,税務住民課
032018,0000000009,岩手県盛岡市,飯岡出張所,イイオカシュッチョウジョ,,,岩手県盛岡市下飯岡8-100,,39.66672200000005,141.12370299999998,019-638-0117,,,,月火水木金,,,,,,http://www.city.morioka.iwate.jp/shisetsu/shikanren/shiyakusho/1006773.html,,都南総合支所
032018,0000000010,岩手県盛岡市,乙部出張所,オトベシュッチョウジョ,,,岩手県盛岡市乙部6-79-1,,39.616088000000033,141.19338899999994,019-696-2001,,,,月火水木金,,,,,,http://www.city.morioka.iwate.jp/shisetsu/shikanren/shiyakusho/1006774.html,,都南総合支所
032018,0000000011,岩手県盛岡市,プラザおでって,プラザオデッテ,,,岩手県盛岡市中ノ橋通1-1-10,,39.700299000000044,141.15475599999996,019-604-3300,,,,月火水木金土日,,,,,,http://odette.or.jp/plaza-odette/,,観光課
032018,0000000012,岩手県盛岡市,盛岡劇場,モリオカゲキジョウ,,,岩手県盛岡市松尾町3-1,,39.696366000000062,141.15816999999993,019-622-2258,,,,火水木金土日,,,,,,http://www.city.morioka.iwate.jp/shisetsu/bunka/hall/1006840.html,,文化国際課
032018,0000000013,岩手県盛岡市,都南文化会館,トナンブンカカイカン,,,岩手県盛岡市永井24-10-1,,39.65249400000004,141.15482999999992,019-637-6611,,,,火水木金土日,,,,,,http://www.city.morioka.iwate.jp/shisetsu/bunka/hall/1006841.html,,文化国際課
032018,0000000014,岩手県盛岡市,盛岡市民文化ホール,モリオカシミンブンカホール,,,岩手県盛岡市盛岡駅西通2-9-1,,39.701303,141.13351000000003,019-621-5100,,,,火水木金土日,,,,,,http://www.city.morioka.iwate.jp/shisetsu/bunka/hall/1006839.html,,文化国際課
032018,0000000015,岩手県盛岡市,渋民文化会館,シブタミブンカカイカン,,,岩手県盛岡市渋民字鶴塚55,,39.849317000000063,141.16948999999997,019-683-3526,,,,火水木金土日,,,,,,http://www.city.morioka.iwate.jp/shisetsu/bunka/hall/1006842.html,,文化国際課
032018,0000000016,岩手県盛岡市,青山地区活動センター体育館,アオヤマチクカツドウセンタータイイクカン,,,岩手県盛岡市月が丘1-26-1,,39.732001000000039,141.113003,019-641-5656,,,,月火水木金土日,,,,,,,,市民協働推進課
032018,0000000018,岩手県盛岡市,青山地区活動センター,アオヤマチクカツドウセンター,,,岩手県盛岡市青山3-37-7,,39.728071000000007,141.11084899999994,019-646-1593,,,,月火水木金土日,,,,,,http://www.city.morioka.iwate.jp/shisetsu/community/chiku/1007323.html,,市民協働推進課
032018,0000000019,岩手県盛岡市,加賀野地区活動センター,カガノチクカツドウセンター,,,岩手県盛岡市加賀野4-18-56,,39.709217216868481,141.16950811540286,019-623-0202,,,,月火水木金土日,,,,,,http://www.city.morioka.iwate.jp/shisetsu/community/chiku/1007327.html,,市民協働推進課
032018,0000000020,岩手県盛岡市,緑が丘地区活動センター,ミドリガオカチクカツドウセンター,,,岩手県盛岡市黒石野2-14-1,,39.742268000000017,141.14581500000003,019-662-5204,,,,月火水木金土日,,,,,,http://www.city.morioka.iwate.jp/shisetsu/community/chiku/1007333.html,,市民協働推進課
032018,0000000021,岩手県盛岡市,厨川地区活動センター,クリヤガワチクカツドウセンター,,,岩手県盛岡市前九年3-7-1,,39.717158000000012,141.12091999999998,019-647-1982,,,,月火水木金土日,,,,,,http://www.city.morioka.iwate.jp/shisetsu/community/chiku/1007325.html,,市民協働推進課
032018,0000000022,岩手県盛岡市,仙北地区活動センター,センボクチクカツドウセンター,,,岩手県盛岡市仙北2-4-13,,39.686047000000052,141.14959600000003,019-635-9356,,,,月火水木金土日,,,,,,http://www.city.morioka.iwate.jp/shisetsu/community/chiku/1007324.html,,市民協働推進課
032018,0000000023,岩手県盛岡市,松園地区活動センター,マツゾノチクカツドウセンター,,,岩手県盛岡市西松園2-18-1,,39.753954000000064,141.16216099999994,019-661-8231,,,,月火水木金土日,,,,,,http://www.city.morioka.iwate.jp/shisetsu/community/chiku/1007326.html,,市民協働推進課
032018,0000000024,岩手県盛岡市,みたけ地区活動センター,ミタケチクカツドウセンター,,,岩手県盛岡市みたけ4-10-52,,39.742748,141.12108299999994,019-641-7817,,,,月火水木金土日,,,,,,http://www.city.morioka.iwate.jp/shisetsu/community/chiku/1007329.html,,市民協働推進課
032018,0000000025,岩手県盛岡市,山岸地区活動センター,ヤマギシチクカツドウセンター,,,岩手県盛岡市山岸4-11-13,,39.720574000000077,141.17108399999995,019-663-2505,,,,月火水木金土日,,,,,,http://www.city.morioka.iwate.jp/shisetsu/community/chiku/1007334.html,,市民協働推進課
032018,0000000026,岩手県盛岡市,中野地区活動センター,ナカノチクカツドウセンター,,,岩手県盛岡市東安庭字小森57-1,,39.680767000000074,141.16855999999999,019-652-3288,,,,月火水木金土日,,,,,,http://www.city.morioka.iwate.jp/shisetsu/community/chiku/1007328.html,,市民協働推進課
032018,0000000027,岩手県盛岡市,本宮地区活動センター,モトミヤチクカツドウセンター,,,岩手県盛岡市本宮4-38-26,,39.687629000000037,141.129693,019-636-3546,,,,月火水木金土日,,,,,,http://www.city.morioka.iwate.jp/shisetsu/community/chiku/1007335.html,,市民協働推進課
032018,0000000028,岩手県盛岡市,太田地区活動センター,オオタチクカツドウセンター,,,岩手県盛岡市中太田深持9,,39.693244,141.10083699999996,019-658-1330,,,,月火水木金土日,,,,,,http://www.city.morioka.iwate.jp/shisetsu/community/chiku/1007330.html,,市民協働推進課
032018,0000000030,岩手県盛岡市,土淵地区活動センター,ツチブチチクカツドウセンター,,,岩手県盛岡市前潟4-4-30,,39.710216000000031,141.09707199999994,019-645-1630,,,,月火水木金土日,,,,,,http://www.city.morioka.iwate.jp/shisetsu/community/chiku/1007331.html,,市民協働推進課
032018,0000000031,岩手県盛岡市,湯沢地域交流活性化センター,ユザワチイキコウリュウカッセイカセンター,,,岩手県盛岡市湯沢西3-4-14,,39.639365999999995,141.09490999999997,019-689-2510,,,,月火水木金土日,,,,,,http://www.city.morioka.iwate.jp/shisetsu/community/chiku/1007337.html,H26.4供用開始,市民協働推進課
032018,0000000032,岩手県盛岡市,仁王地区活動センター,ニオウチクカツドウセンター,,,岩手県盛岡市三ツ割字下更ノ沢26-4,,39.727127000000074,141.15763599999994,019-661-4151,,,,月火水木金土日,,,,,,http://www.city.morioka.iwate.jp/shisetsu/community/chiku/1007336.html,H27.4供用開始,市民協働推進課
032018,0000000033,岩手県盛岡市,永井地域交流活性化センター,ナガイチイキコウリュウカッセイカセンター,,,岩手県盛岡市永井23地割14番地１号,,39.6531330147853,141.15169010473892,019-637-0500,,,,月火水木金土日,,,,,,https://www.city.morioka.iwate.jp/shisetsu/shikanren/chiku/1030411.html,,市民協働推進課
032018,0000000033,岩手県盛岡市,女性センター,ジョセイセンター,,,岩手県盛岡市中ノ橋通1-1-10,,39.700336000000064,141.15479899999997,019-604-3303,,,,月火水木金土日,,,,,,http://mjc.sankaku-npo.jp/,,男女共同参画推進室
032018,0000000034,岩手県盛岡市,勤労福祉会館,キンロウフクシカイカン,,,岩手県盛岡市紺屋町2-9,,39.701680000000074,141.15608699999999,019-654-3480,,,,月火水木金土,,,,,,http://www.city.morioka.iwate.jp/shisetsu/sangyo/kinrosha/1006847.html,,経済企画課
032018,0000000035,岩手県盛岡市,サンライフ盛岡,サンライフモリオカ,,,岩手県盛岡市仙北2-4-12,,39.686068000000041,141.150085,019-635-9600,,,,月火水木金土,,,,,,http://www.city.morioka.iwate.jp/shisetsu/sangyo/kinrosha/1006849.html,,経済企画課
032018,0000000038,岩手県盛岡市,上米内地区振興センター,カミヨナイチクシンコウセンター,,,岩手県盛岡市上米内字中居74-1,,39.742814000000116,141.20173499999987,019-626-7540,,,,月火水木金土日,,,,,,http://www.city.morioka.iwate.jp/shisetsu/sangyo/seikatsu/1006861.html,,農政課
032018,0000000039,岩手県盛岡市,庄ケ畑地区振興センター,ショウガハタチクシンコウセンター,,,岩手県盛岡市上米内字道ノ下39-2,,39.754654000000073,141.1857599999999,019-626-7540,,,,月火水木金土日,,,,,,http://www.city.morioka.iwate.jp/shisetsu/sangyo/seikatsu/1006856.html,,農政課
032018,0000000040,岩手県盛岡市,銭掛地区振興センター,ゼニガケチクシンコウセンター,,,岩手県盛岡市新庄字銭掛23-4,,39.715429000000157,141.26540999999989,019-626-7540,,,,月火水木金土日,,,,,,http://www.city.morioka.iwate.jp/shisetsu/sangyo/seikatsu/1006859.html,,農政課
032018,0000000042,岩手県盛岡市,大葛地区振興センター,オオクズチクシンコウセンター,,,岩手県盛岡市浅岸字下大葛43-7,,39.711402000000106,141.2305649999999,019-626-7540,,,,月火水木金土日,,,,,,http://www.city.morioka.iwate.jp/shisetsu/sangyo/seikatsu/1006857.html,,農政課
032018,0000000043,岩手県盛岡市,簗川地区振興センター,ヤナガワチクシンコウセンター,,,岩手県盛岡市簗川5-33-1,,39.666075000000177,141.30033299999971,019-626-7540,,,,月火水木金土日,,,,,,http://www.city.morioka.iwate.jp/shisetsu/sangyo/seikatsu/1006860.html,,農政課
032018,0000000044,岩手県盛岡市,盛岡市飯岡農業構造改善センタ－,モリオカシイイオカノウギョウコウゾウカイゼンセンター,,,岩手県盛岡市下飯岡8-100,,39.666948000000041,141.12375599999996,019-637-6383,,,,火水木金土日,,,,,,http://www.city.morioka.iwate.jp/shisetsu/sangyo/seikatsu/1006870.html,,農政課
032018,0000000045,岩手県盛岡市,盛岡市乙部農業構造改善センター,モリオカシオトベノウギョウコウゾウカイゼンセンター,,,岩手県盛岡市乙部6-77,,39.616270000000029,141.19360299999994,019-696-2663,,,,火水木金土日,,,,,,http://www.city.morioka.iwate.jp/shisetsu/sangyo/seikatsu/1006869.html,,農政課
032018,0000000046,岩手県盛岡市,盛岡市砂子沢生活改善センター,モリオカシイサゴザワセイカツカイゼンセンター,,,岩手県盛岡市砂子沢10-65,,39.602094739532049,141.32045758881247,019-626-7540,,,,月火水木金土日,,,,,,https://www.city.morioka.iwate.jp/shisetsu/sangyo/seikatsu/1006853.html,,農政課
032018,0000000047,岩手県盛岡市,盛岡市川目生活改善センター,モリオカシカワメセイカツカイゼンセンター,,,岩手県盛岡市川目10-1-1,,39.672315000000069,141.19709299999991,019-626-7540,,,,月火水木金土日,,,,,,http://www.city.morioka.iwate.jp/shisetsu/sangyo/seikatsu/1006852.html,,農政課
032018,0000000048,岩手県盛岡市,松内地区コミュニティセンター,マツナイチクコミュニティセンター,,,岩手県盛岡市松内字松内36-33,,39.886949000000065,141.156732,019-683-2116,,,,月火水木金土日,,,,,,,,玉山総務課
032018,0000000049,岩手県盛岡市,大台地区コミュニティセンター,オオダイチクコミュニティセンター,,,岩手県盛岡市好摩字新田155-19,,39.891127000000075,141.16564099999994,019-683-2116,,,,月火水木金土日,,,,,,,,玉山総務課
032018,0000000050,岩手県盛岡市,好摩東地区コミュニティセンター,コウマヒガシチクコミュニティセンター,,,岩手県盛岡市好摩字上山3-38,,39.87592300000005,141.17615399999994,019-683-2116,,,,月火水木金土日,,,,,,,,玉山総務課
032018,0000000051,岩手県盛岡市,好摩地区コミュニティセンター,コウマチクコミュニティセンター,,,岩手県盛岡市好摩字野中67-10,,39.87590100000002,141.168121,019-683-2116,,,,月火水木金土日,,,,,,,,玉山総務課
032018,0000000052,岩手県盛岡市,小袋地区コミュニティセンター,コブクロチクコミュニティセンター,,,岩手県盛岡市好摩字夏間木70-31,,39.874082000000023,141.16326699999996,019-683-2116,,,,月火水木金土日,,,,,,,,玉山総務課
032018,0000000053,岩手県盛岡市,永井地区コミュニティセンター,ナガイチクコミュニティセンター,,,岩手県盛岡市玉山永井字永井沢117-1,,39.907556000000078,141.18839599999993,019-683-2116,,,,月火水木金土日,,,,,,,,玉山総務課
032018,0000000054,岩手県盛岡市,巻堀地区コミュニティセンター,マキボリチクコミュニティセンター,,,岩手県盛岡市巻堀字巻堀33-2,,39.893099000000042,141.19490499999989,019-683-2116,,,,月火水木金土日,,,,,,,,玉山総務課
032018,0000000055,岩手県盛岡市,馬場状小屋地区コミュニティセンター,ババジョウゴヤチクコミュニティセンター,,,岩手県盛岡市玉山馬場字状小屋3-3,,39.88203400000004,141.19102399999997,019-683-2116,,,,月火水木金土日,,,,,,,,玉山総務課
032018,0000000056,岩手県盛岡市,芋田地区コミュニティセンター,イモダチクコミュニティセンター,,,岩手県盛岡市芋田字下芋田109-2,,39.86635700000005,141.17704,019-683-2116,,,,月火水木金土日,,,,,,,,玉山総務課
032018,0000000057,岩手県盛岡市,渋民地区コミュニティセンター,シブタミチクコミュニティセンター,,,岩手県盛岡市渋民字小前田321,,39.843083000000078,141.16577399999997,019-683-2116,,,,月火水木金土日,,,,,,,,玉山総務課
032018,0000000058,岩手県盛岡市,下田川崎地区コミュニティセンター,シモダカワサキチクコミュニティセンター,,,岩手県盛岡市下田字上下田89-3,,39.852603000000073,141.15924800000002,019-683-2116,,,,月火水木金土日,,,,,,,,玉山総務課
032018,0000000059,岩手県盛岡市,生出３地区コミュニティセンター,オイデサンチクコミュニティセンター,,,岩手県盛岡市下田字生出1038-10,,39.869017000000028,141.11379300000002,019-683-2116,,,,月火水木金土日,,,,,,,,玉山総務課
032018,0000000060,岩手県盛岡市,山田地区コミュニティセンター,ヤマダチクコミュニティセンター,,,岩手県盛岡市下田字頭無15-12,,39.84903500000005,141.14979100000002,019-683-2116,,,,月火水木金土日,,,,,,,,玉山総務課
032018,0000000061,岩手県盛岡市,舟田２地区コミュニティセンター,フナダニチクコミュニティセンター,,,岩手県盛岡市下田字陣場54-432,,39.836626000000074,141.15285299999991,019-683-2116,,,,月火水木金土日,,,,,,,,玉山総務課
032018,0000000062,岩手県盛岡市,山谷川目地区コミュニティセンター,ヤマヤカワメチクコミュニティセンター,,,岩手県盛岡市玉山字糠森73,,39.810513000000107,141.21672399999997,019-683-2116,,,,月火水木金土日,,,,,,,,玉山総務課
032018,0000000063,岩手県盛岡市,城内地区コミュニティセンター,ジョウナイチクコミュニティセンター,,,岩手県盛岡市玉山字城内37,,39.816660000000077,141.20480199999994,019-683-2116,,,,月火水木金土日,,,,,,,,玉山総務課
032018,0000000064,岩手県盛岡市,白沢地区コミュニティセンター,シラサワチクコミュニティセンター,,,岩手県盛岡市玉山字宮前84-5,,39.8155500000001,141.18718299999992,019-683-2116,,,,月火水木金土日,,,,,,,,玉山総務課
032018,0000000065,岩手県盛岡市,日戸地区コミュニティセンター,ヒノトチクコミュニティセンター,,,岩手県盛岡市日戸字古屋敷68-2,,39.798883000000068,141.21577499999992,019-683-2116,,,,月火水木金土日,,,,,,,,玉山総務課
032018,0000000066,岩手県盛岡市,川又地区コミュニティセンター,カワマタチクコミュニティセンター,,,岩手県盛岡市川又字赤坂12-173,,39.784778000000088,141.18255499999998,019-683-2116,,,,月火水木金土日,,,,,,,,玉山総務課
032018,0000000067,岩手県盛岡市,芋田向地区介護予防センター,イモダムカイチクカイゴヨボウセンター,,,岩手県盛岡市好摩字上山1-46,,39.867911000000021,141.16961599999993,019-683-3869,,,,月火水木金土日,,,,,,http://www.city.morioka.iwate.jp/shisetsu/fukushi/kourei/1006962.html,,玉山総務課
032018,0000000068,岩手県盛岡市,舟田地区介護予防センター,フナタチクカイゴヨボウセンター,,,岩手県盛岡市下田字牡丹野59-14,,39.837310000000059,141.16007799999994,019-683-3869,,,,月火水木金土日,,,,,,http://www.city.morioka.iwate.jp/shisetsu/fukushi/kourei/1006963.html,,玉山総務課
032018,0000000070,岩手県盛岡市,姫神地区振興センター,ヒメカミチクシンコウセンター,,,岩手県盛岡市玉山馬場字葛巻104-1,,39.893040000000148,141.25597999999979,,,,,月火水木金土日,,,,,,,,産業振興課
032018,0000000071,岩手県盛岡市,渋民勤労者研修センター,シブタミキンロウシャケンシュウセンター,,,岩手県盛岡市渋民字渋民13,,39.846662000000016,141.17071099999995,,,,,月火水木金土日,,,,,,,,産業振興課
032018,0000000072,岩手県盛岡市,農民研修センター,ノウミンケンシュウセンター,,,岩手県盛岡市下田字仲平59-124,,39.859093000000037,141.12686199999996,,,,,月火水木金土日,,,,,,,,産業振興課
032018,0000000074,岩手県盛岡市,町村活性化センター,マチムラカッセイカセンター,町村ふれあいセンター,,岩手県盛岡市薮川字町村75-1,,39.847653000000626,141.45569699999893,,,,,月火水木金土日,,,,,,https://www.city.morioka.iwate.jp/shisetsu/sangyo/seikatsu/1006865.html,,産業振興課
032018,0000000075,岩手県盛岡市,岩洞生活改善センター,ガンドウセイカツカイゼンセンター,,,岩手県盛岡市薮川字外山35-44,,39.825024000000354,141.37718199999941,,,,,月火水木金土日,,,,,,https://www.city.morioka.iwate.jp/shisetsu/sangyo/seikatsu/1006854.html,,産業振興課
032018,0000000076,岩手県盛岡市,岩洞活性化センター,ガンドウカッセイカセンター,,,岩手県盛岡市薮川字外山35-45,,39.828034000000315,141.36318899999949,019-681-5141,,,,月火水木金土日,,,,,,https://www.city.morioka.iwate.jp/kankou/taiken/1000898.html,,産業振興課
032018,0000000077,岩手県盛岡市,盛岡市中央公民館,モリオカシチュウオウコウミンカン,,,岩手県盛岡市愛宕町14-1,,39.710650000000093,141.16215899999997,019-654-5366,,,,火水木金土日,,,,,,https://www.city.morioka.iwate.jp/kurashi/shiminkatsudo/kominkan/chuo/index.html,,生涯学習課
032018,0000000078,岩手県盛岡市,盛岡市上田公民館,モリオカシウエダコウミンカン,,,岩手県盛岡市上田4-1-1,,39.720393000000023,141.13806900000003,019-654-2333,,,,火水木金土日,,,,,,https://www.city.morioka.iwate.jp/kurashi/shiminkatsudo/kominkan/ueda/index.html,,生涯学習課
032018,0000000079,岩手県盛岡市,盛岡市河南公民館,モリオカシカナンコウミンカン,,,岩手県盛岡市松尾町3-1,,39.696222000000063,141.158481,019-622-2258,,,,火水木金土日,,,,,,http://www.mfca.jp/morigeki/,,生涯学習課
032018,0000000080,岩手県盛岡市,盛岡市都南公民館,モリオカシトナンコウミンカン,,,岩手県盛岡市永井24-10-1,,39.652448000000064,141.15484800000002,019-637-6611,,,,火水木金土日,,,,,,http://www.mfca.jp/kyarahall/,,生涯学習課
032018,0000000081,岩手県盛岡市,盛岡市西部公民館,モリオカシセイブコウミンカン,,,岩手県盛岡市南青山町6-1,,39.718429000000071,141.11596300000002,019-643-2288,,,,火水木金土日,,,,,,http://www.city.morioka.iwate.jp/kurashi/shiminkatsudo/kominkan/seibu/index.html,,生涯学習課
032018,0000000082,岩手県盛岡市,盛岡市渋民公民館,モリオカシシブタミコウミンカン,,,岩手県盛岡市渋民字鶴塚55,,39.848997000000089,141.16949699999995,019-683-2354,,,,火水木金土日,,,,,,http://www.mfca.jp/himekami/,,生涯学習課
032018,0000000083,岩手県盛岡市,盛岡市松園地区公民館,モリオカシマツゾノチクコウミンカン,,,岩手県盛岡市東松園2-5-3,,39.756008000000058,141.16421299999996,019-661-8111,,,,月火水木金土日,,,,,,https://www.city.morioka.iwate.jp/kurashi/shiminkatsudo/kominkan/matsuzono/index.html,,生涯学習課
032018,0000000084,岩手県盛岡市,盛岡市見前地区公民館,モリオカシミルマエチクコウミンカン,,,岩手県盛岡市津志田中央2-9-1,,39.661768000000038,141.15646700000002,019-639-1788,,,,月火水木金土日,,,,,,https://www.city.morioka.iwate.jp/kurashi/shiminkatsudo/kominkan/mirumae/index.html,,生涯学習課
